Overall_rank,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Country_or_region
1080,0.4715,0.8214,0.802,0.4383,0.3279,0.9473,0.5837,wacbmgwo
1081,0.4338,0.3618,0.3596,0.4064,0.391,0.0447,0.5346,uonx
1082,0.3278,0.5746,0.8317,0.6028,0.9509,0.1992,0.395,jrehwreb
1083,0.7979,0.1504,0.0217,0.4842,0.1758,0.3391,0.14,jzoyhu
1084,0.2116,0.5608,0.962,0.9298,0.1976,0.6685,0.0149,hynv
1085,0.403,0.8537,0.4723,0.3383,0.1337,0.2332,0.3781,gzhgvot
1086,0.9131,0.5877,0.4749,0.8529,0.1546,0.2526,0.2495,ilbo
1087,0.18,0.7967,0.3494,0.6564,0.2679,0.5205,0.9842,lnjr
1088,0.3308,0.0203,0.8969,0.9745,0.0585,0.3123,0.2382,udcpttn
1089,0.371,0.1772,0.3311,0.1138,0.5908,0.1068,0.8922,fywzogr
1090,0.0765,0.9499,0.9997,0.6011,0.6211,0.5298,0.1779,mdfdtrwf
1091,0.1759,0.292,0.1329,0.0549,0.8895,0.7031,0.1818,bhakvqe
1092,0.2785,0.3616,0.8508,0.554,0.4854,0.1325,0.4678,ximsiv
1093,0.4096,0.3592,0.4998,0.8777,0.5387,0.3182,0.0103,zftd
1094,0.0016,0.1666,0.3215,0.1942,0.3304,0.535,0.7091,xwlki
1095,0.5857,0.3948,0.7156,0.408,0.5979,0.0205,0.6819,nbrvsbvl
1096,0.7852,0.7233,0.7322,0.4768,0.5887,0.4302,0.5053,htyzjg
1097,0.424,0.3285,0.4718,0.6154,0.833,0.5721,0.6612,qzqxf
1098,0.3623,0.5509,0.3517,0.235,0.5425,0.0167,0.9661,hxwphpki
1099,0.5005,0.3678,0.4468,0.1853,0.9855,0.8518,0.1055,jdvjoba
1100,0.7336,0.8096,0.3256,0.3077,0.1934,0.8301,0.0601,mlkrwpp
1101,0.6953,0.511,0.8681,0.4833,0.5943,0.406,0.7592,uymn
1102,0.2542,0.0458,0.724,0.3777,0.0924,0.5576,0.0756,fftkfnq
1103,0.6482,0.9862,0.8842,0.8027,0.0029,0.5342,0.6072,ixiypnmz
1104,0.0351,0.9589,0.2629,0.0067,0.994,0.2734,0.3399,xief
1105,0.3396,0.9372,0.894,0.8409,0.4105,0.0178,0.5577,mjjh
1106,0.4632,0.0163,0.6978,0.4212,0.0693,0.5258,0.9589,kxmoxlp
1107,0.0157,0.2571,0.4566,0.7824,0.8036,0.4201,0.474,fbdbxl
1108,0.9327,0.8148,0.1591,0.0262,0.1079,0.8987,0.4423,yanhv
1109,0.7326,0.5762,0.9871,0.861,0.1642,0.8988,0.2578,zpvr
1110,0.8164,0.9965,0.7241,0.6745,0.7057,0.276,0.9515,rxrhmm
1111,0.2026,0.4921,0.5826,0.0016,0.342,0.4341,0.9604,dlbza
1112,0.3295,0.0139,0.0711,0.8318,0.0336,0.9795,0.1772,pnutg
1113,0.553,0.0485,0.5717,0.0732,0.9434,0.5273,0.3299,jcoopq
1114,0.3751,0.7745,0.0011,0.7225,0.1824,0.4533,0.1324,cdmlronu
1115,0.7402,0.0282,0.9489,0.0354,0.133,0.7049,0.0532,uiszagcm
1116,0.1256,0.1594,0.2422,0.343,0.1218,0.0096,0.4447,xthtfep
1117,0.853,0.2656,0.0215,0.2138,0.9766,0.6892,0.8194,omhisic
1118,0.2186,0.1338,0.4754,0.3546,0.1474,0.6573,0.8487,loxzjd
1119,0.4467,0.8731,0.6383,0.6646,0.9077,0.9821,0.8314,fnzl
1120,0.4081,0.951,0.0007,0.676,0.4681,0.9151,0.2409,plhi
1121,0.5887,0.3608,0.2185,0.2639,0.4936,0.4166,0.5334,wermdfg
1122,0.2875,0.5395,0.514,0.5057,0.8621,0.2003,0.556,ckmgwft
1123,0.9103,0.415,0.2048,0.9333,0.2984,0.2856,0.2274,mrtk
1124,0.4974,0.774,0.1609,0.0748,0.5337,0.0793,0.9323,rvgtzhis
1125,0.489,0.4778,0.1639,0.6466,0.3473,0.9135,0.7066,enxdp
1126,0.8117,0.0619,0.411,0.8299,0.1824,0.0511,0.5801,klbgkc
1127,0.7755,0.8434,0.4171,0.163,0.6699,0.1841,0.6697,mfdxyc
1128,0.2061,0.789,0.886,0.1542,0.1412,0.3444,0.2351,nwhoa
1129,0.3742,0.0365,0.8649,0.8155,0.9443,0.4343,0.2777,nscbcon
1130,0.7965,0.9986,0.0571,0.048,0.8753,0.8724,0.8688,ipyyale
1131,0.7077,0.153,0.8529,0.5541,0.8996,0.0019,0.5196,atvzgnz
1132,0.4634,0.7275,0.6802,0.9625,0.9233,0.2726,0.2168,bdqzdy
1133,0.6675,0.9362,0.3403,0.3734,0.845,0.0422,0.7529,xvgagrod
1134,0.5744,0.4777,0.9913,0.4485,0.3266,0.4032,0.8648,fyozcy
1135,0.7273,0.0628,0.8311,0.4255,0.4902,0.5974,0.2075,sxys
1136,0.9312,0.413,0.4995,0.5547,0.2164,0.8373,0.0141,zmghos
1137,0.6764,0.4645,0.3106,0.97,0.6868,0.944,0.0971,durovtmg
1138,0.9065,0.7674,0.5195,0.3791,0.8113,0.1205,0.0637,ptsmx
1139,0.6308,0.4509,0.2924,0.7143,0.6904,0.5012,0.3141,evgk
1140,0.8249,0.7173,0.9648,0.6461,0.1209,0.213,0.9478,lbtju
1141,0.1321,0.1976,0.9999,0.8339,0.1709,0.9514,0.2602,frqsvv
1142,0.2869,0.5363,0.4825,0.4027,0.0853,0.0608,0.319,wxgd
1143,0.136,0.3144,0.6819,0.202,0.5438,0.6962,0.1628,aklncdmi
1144,0.9864,0.0834,0.5956,0.0829,0.4083,0.2856,0.432,fvsb
1145,0.1247,0.5069,0.9473,0.1719,0.9485,0.0163,0.2433,gccm
1146,0.6281,0.2339,0.3905,0.1368,0.7864,0.6806,0.1911,qnapkmc
1147,0.2911,0.0092,0.6361,0.0317,0.6621,0.4053,0.4457,brcfn
1148,0.5608,0.0493,0.3704,0.1981,0.8927,0.5636,0.8543,bkdspuo
1149,0.8911,0.5855,0.0698,0.5026,0.2226,0.9055,0.1053,juyxkjz
1150,0.4315,0.6152,0.4914,0.4281,0.5569,0.4055,0.1591,rwhpwe
1151,0.8598,0.5634,0.6304,0.9018,0.0569,0.3873,0.9661,vhnrfv
1152,0.481,0.2961,0.1363,0.5677,0.0281,0.8669,0.077,yxejbfeg
1153,0.3426,0.1869,0.7475,0.3215,0.9344,0.4,0.1168,yjkqr
1154,0.4572,0.4204,0.8939,0.2161,0.5635,0.1637,0.8132,jdcwgtl
1155,0.0779,0.3155,0.0095,0.1636,0.9523,0.4349,0.6672,sjcy
1156,0.9099,0.4877,0.672,0.6761,0.7843,0.9479,0.3888,jbdtrqm
1157,0.0647,0.2058,0.1672,0.8005,0.6087,0.0413,0.7588,owzgibsh
1158,0.0048,0.2545,0.787,0.2699,0.3096,0.1595,0.6798,eztu
1159,0.1204,0.4461,0.7148,0.9751,0.0552,0.8743,0.8973,qstfqvl
1160,0.9421,0.2192,0.747,0.2604,0.0662,0.8283,0.4918,frmcbu
1161,0.4403,0.0776,0.8094,0.2755,0.8559,0.5667,0.0048,grtgu
1162,0.6487,0.7736,0.4543,0.4031,0.454,0.0732,0.9462,jzvi
1163,0.0143,0.6709,0.8351,0.2058,0.937,0.4737,0.7815,kjvthv
1164,0.4736,0.2338,0.2667,0.7719,0.2452,0.5981,0.9026,ficimxsv
1165,0.7002,0.8402,0.0231,0.894,0.5218,0.4494,0.7891,icsmj
1166,0.815,0.8696,0.6571,0.169,0.525,0.3531,0.1363,fxbgdl
1167,0.6801,0.638,0.8519,0.1224,0.0567,0.364,0.4232,vbfgefnx
1168,0.9071,0.9457,0.0305,0.5206,0.9007,0.2264,0.4708,viiwzkpa
1169,0.3973,0.2306,0.8658,0.1093,0.0743,0.6519,0.7957,udaf
1170,0.8432,0.46,0.6475,0.3218,0.1403,0.1985,0.8879,yhykfr
1171,0.3,0.7545,0.0796,0.3727,0.8587,0.6561,0.5449,ntllzh
1172,0.5511,0.348,0.9194,0.5833,0.8486,0.3589,0.076,bnksslbk
1173,0.2321,0.6821,0.4313,0.8699,0.9611,0.9648,0.7863,pkln
1174,0.0736,0.0606,0.5942,0.354,0.9553,0.5408,0.0695,tgmno
1175,0.4954,0.7098,0.1532,0.3009,0.817,0.3006,0.9335,psljf
1176,0.6172,0.6603,0.8876,0.2175,0.8945,0.1244,0.6078,ntzfw
1177,0.2193,0.1726,0.5573,0.0609,0.176,0.85,0.005,zrittgig
1178,0.2054,0.5962,0.3517,0.0876,0.3497,0.4042,0.8058,ldmbbe
1179,0.5741,0.4717,0.1274,0.1066,0.8887,0.9671,0.17,dctxd
1180,0.5139,0.8796,0.2488,0.6786,0.5349,0.9937,0.4883,ttpd
1181,0.2273,0.5133,0.8025,0.8096,0.2315,0.005,0.3575,lusvzzd
1182,0.577,0.8174,0.9536,0.5342,0.128,0.2823,0.9969,escbbcbc
1183,0.4182,0.9737,0.1437,0.1193,0.2147,0.2164,0.9675,pkdojfnt
1184,0.5045,0.044,0.6901,0.6393,0.0144,0.9325,0.3076,ndctqyht
1185,0.6241,0.6204,0.4989,0.5472,0.7515,0.6376,0.3283,jvsk
1186,0.7302,0.226,0.352,0.836,0.9716,0.8911,0.6615,fejedj
1187,0.5194,0.5997,0.6291,0.3316,0.614,0.2517,0.2976,foyqeb
1188,0.7803,0.3544,0.6369,0.8324,0.6401,0.1564,0.3623,cjvf
1189,0.9257,0.562,0.0065,0.5063,0.2255,0.3727,0.7013,svqhtdle
1190,0.2163,0.8761,0.0843,0.6839,0.1985,0.9753,0.2646,xisqdbc
1191,0.1067,0.9829,0.8008,0.1657,0.0126,0.7369,0.7179,vlrbm
1192,0.7431,0.9582,0.9148,0.7502,0.3809,0.0674,0.4838,nhfynoxb
1193,0.9981,0.3737,0.6173,0.6395,0.867,0.4868,0.6457,olxca
1194,0.6058,0.3366,0.635,0.7878,0.9977,0.7224,0.125,bumwh
1195,0.9178,0.1231,0.6973,0.1927,0.8319,0.2565,0.1611,tusgkv
1196,0.0439,0.0243,0.9531,0.4625,0.3099,0.1513,0.2285,tutbh
1197,0.5871,0.8263,0.0848,0.8452,0.1533,0.9327,0.161,pesokfj
1198,0.6865,0.4976,0.6272,0.2149,0.0854,0.9284,0.0283,sltiyw
1199,0.0566,0.8749,0.0131,0.5677,0.4153,0.9314,0.4062,vuyh
1200,0.4252,0.5507,0.5685,0.9631,0.987,0.6157,0.4924,ehdx
1201,0.0056,0.1335,0.2454,0.7917,0.6838,0.3242,0.8512,cgsehfyi
1202,0.6211,0.8799,0.3002,0.2891,0.9478,0.4871,0.5058,krmdksw
1203,0.6007,0.1434,0.3094,0.1749,0.7814,0.1246,0.812,zojscdp
1204,0.7867,0.4608,0.2142,0.2185,0.0514,0.1977,0.9648,awtsmmeu
1205,0.11,0.7298,0.248,0.422,0.5666,0.4889,0.0014,pmezmj
1206,0.0841,0.9146,0.0554,0.6806,0.3647,0.6847,0.5245,lfctelkp
1207,0.3717,0.1414,0.6445,0.7206,0.1916,0.7759,0.9841,mpjuag
1208,0.4297,0.7831,0.9177,0.7455,0.3476,0.324,0.8485,dorae
1209,0.5768,0.7258,0.7869,0.8151,0.3805,0.3035,0.887,ljpsmw
1210,0.5472,0.9641,0.5378,0.8721,0.3947,0.7827,0.2711,eeirzfx
1211,0.5601,0.9273,0.6445,0.0306,0.7438,0.2702,0.9672,arypwaej
1212,0.1876,0.3301,0.8371,0.9992,0.9071,0.3505,0.6846,uyqf
1213,0.683,0.6647,0.324,0.2681,0.8684,0.9435,0.554,bccwd
1214,0.4926,0.609,0.5744,0.0609,0.2643,0.5472,0.7809,umpk
1215,0.5178,0.571,0.9534,0.092,0.649,0.2643,0.4937,bmyfm
1216,0.0272,0.3395,0.9205,0.8072,0.8013,0.0687,0.7568,svai
1217,0.3704,0.7607,0.1593,0.4184,0.1458,0.3385,0.6424,lznhoim
1218,0.9106,0.0869,0.4552,0.0967,0.1565,0.8265,0.19,jlum
1219,0.4809,0.2781,0.9941,0.0092,0.9773,0.0623,0.0787,zeavqx
1220,0.1316,0.0312,0.1808,0.3174,0.2852,0.7372,0.4336,ucbq
1221,0.7642,0.3071,0.1365,0.6536,0.0466,0.8704,0.4581,ubykplu
1222,0.1336,0.068,0.564,0.9992,0.3505,0.579,0.2531,hioiwptm
1223,0.1325,0.5065,0.25,0.816,0.7903,0.1041,0.5372,jqya
1224,0.6256,0.0125,0.3908,0.08,0.3721,0.0671,0.1099,tfrr
1225,0.0151,0.8507,0.135,0.5121,0.2339,0.5101,0.0313,wfziorpg
1226,0.9209,0.1884,0.5908,0.8303,0.4785,0.1158,0.2349,xoaodtfz
1227,0.5012,0.3071,0.0857,0.2186,0.6223,0.0178,0.7156,gbjuohpy
1228,0.5346,0.2797,0.9129,0.5484,0.9887,0.1493,0.1108,wiypvjuf
1229,0.7353,0.783,0.7156,0.6967,0.6924,0.3007,0.0694,knqctsby
1230,0.0645,0.1261,0.2188,0.2588,0.4756,0.6044,0.6506,fmkv
1231,0.7213,0.3684,0.5331,0.1745,0.4016,0.7354,0.4864,vvkcl
1232,0.0553,0.4979,0.8365,0.7133,0.1072,0.3997,0.3672,kvmdpkjm
1233,0.8409,0.7436,0.7477,0.8413,0.3773,0.4216,0.1057,jrau
1234,0.0431,0.4571,0.1102,0.2533,0.1287,0.219,0.9834,dsgdd
1235,0.1516,0.2773,0.0393,0.0399,0.6552,0.0617,0.4999,sbyvq
1236,0.575,0.4322,0.543,0.1956,0.8491,0.1239,0.7674,iujs
1237,0.8939,0.1037,0.8949,0.9198,0.0779,0.8681,0.5188,juhhnczl
1238,0.6337,0.3978,0.6459,0.3494,0.6291,0.8165,0.9891,ysxwpouq
1239,0.2812,0.1962,0.8358,0.413,0.3373,0.7392,0.0978,nihod
1240,0.5337,0.9881,0.4331,0.3945,0.13,0.1708,0.8008,tjljsmyg
1241,0.0721,0.0604,0.4328,0.7683,0.8669,0.0356,0.5531,rhptc
1242,0.6571,0.3974,0.6077,0.6437,0.0287,0.9692,0.0239,rvyk
1243,0.4347,0.2902,0.0761,0.1946,0.2713,0.2425,0.3396,nlbhcl
1244,0.983,0.194,0.7675,0.2635,0.3783,0.9357,0.067,qakmldxa
1245,0.8769,0.3727,0.2677,0.2001,0.018,0.1275,0.924,wfylno
1246,0.1181,0.0146,0.42,0.7323,0.4362,0.9995,0.6432,rxlxbjho
1247,0.9503,0.1728,0.4779,0.1319,0.3482,0.5153,0.2043,lgdi
1248,0.2357,0.1563,0.2764,0.7657,0.0331,0.7922,0.815,eeuwbirn
1249,0.6484,0.9374,0.8829,0.46,0.6523,0.8202,0.0303,vlnlo
1250,0.7244,0.7609,0.0272,0.6605,0.0973,0.185,0.3256,tdsxk
1251,0.3423,0.7733,0.9608,0.3172,0.0052,0.7459,0.6703,vqujymci
1252,0.681,0.5364,0.0205,0.1476,0.5064,0.7022,0.6224,qhheacn
1253,0.557,0.6686,0.0305,0.5177,0.2374,0.5563,0.5153,wnidhk
1254,0.488,0.9886,0.2479,0.2445,0.198,0.9131,0.9829,yzabhzcf
1255,0.6679,0.3139,0.4608,0.0716,0.6645,0.277,0.8764,pcphcb
1256,0.4666,0.4213,0.5746,0.3076,0.9682,0.3743,0.3524,rjtuqduk
1257,0.3124,0.6755,0.3856,0.6497,0.0059,0.9285,0.8824,zwytfe
1258,0.751,0.2726,0.9899,0.9937,0.0445,0.5219,0.8328,fmaba
1259,0.5358,0.1005,0.5885,0.3337,0.2157,0.4584,0.5635,bcdk
1260,0.8653,0.9917,0.3987,0.0895,0.0958,0.9748,0.674,qwidedx
1261,0.1669,0.3492,0.391,0.9221,0.9363,0.7287,0.1937,eeqem
1262,0.0198,0.044,0.8152,0.4049,0.1843,0.2705,0.5153,govtfre
1263,0.7993,0.8273,0.4415,0.4077,0.7145,0.6663,0.5868,kdsz
1264,0.333,0.712,0.4232,0.2029,0.8775,0.3814,0.3982,uhhrrje
1265,0.9921,0.4348,0.3115,0.6956,0.271,0.2286,0.0503,ilwjwdiv
1266,0.473,0.7027,0.9789,0.4408,0.4495,0.0666,0.8497,lgdryos
1267,0.625,0.3179,0.741,0.1045,0.328,0.5823,0.0896,qzxv
1268,0.4865,0.1519,0.4658,0.3964,0.1024,0.6238,0.6989,euwbexz
1269,0.3784,0.888,0.7501,0.408,0.5544,0.3671,0.3551,uuurlafn
1270,0.2559,0.0904,0.9884,0.6603,0.4984,0.0446,0.2298,npfsye
1271,0.0661,0.4163,0.1933,0.3678,0.7362,0.0634,0.6917,ngufibq
1272,0.197,0.5552,0.1284,0.5941,0.7911,0.6497,0.0937,vexosc
1273,0.2082,0.099,0.2584,0.995,0.1388,0.4891,0.2545,oydtn
1274,0.6577,0.7923,0.488,0.9369,0.7064,0.9753,0.2235,vlielx
1275,0.6097,0.7088,0.6414,0.4269,0.6005,0.3094,0.0794,jppxj
1276,0.1106,0.4828,0.1053,0.4122,0.7372,0.3034,0.5945,asoqiyw
1277,0.6361,0.5911,0.2562,0.6321,0.7159,0.8444,0.0125,pwvnzomb
1278,0.868,0.1062,0.6357,0.4075,0.6176,0.51,0.8614,pfwvby
1279,0.1238,0.0088,0.7609,0.7532,0.4996,0.9002,0.9793,vqcah
1280,0.5677,0.2552,0.295,0.3857,0.1075,0.3397,0.6193,gaont
1281,0.0682,0.6736,0.6593,0.6312,0.8803,0.915,0.6833,bcfcrl
1282,0.7877,0.8516,0.5262,0.603,0.7446,0.3123,0.1696,vxsud
1283,0.5732,0.2314,0.1895,0.0574,0.3709,0.6447,0.8843,hfpp
1284,0.472,0.225,0.4623,0.7437,0.8643,0.523,0.7557,xhsxii
1285,0.8665,0.1692,0.4619,0.3387,0.3861,0.2805,0.8369,pbmaqo
1286,0.1337,0.1152,0.4324,0.947,0.3717,0.36,0.1789,bmhg
1287,0.5178,0.5477,0.8414,0.5267,0.478,0.2761,0.8674,ymjh
1288,0.3476,0.6611,0.2055,0.3069,0.9313,0.654,0.6246,wywgvh
1289,0.261,0.6096,0.1453,0.0178,0.0156,0.0296,0.6723,ftsbriv
1290,0.9765,0.1626,0.2695,0.3217,0.5771,0.4451,0.7429,kzwsimu
1291,0.8077,0.9944,0.014,0.2346,0.9958,0.6574,0.5443,xgkn
1292,0.4983,0.4135,0.0636,0.3804,0.8486,0.2434,0.1945,fingyta
1293,0.925,0.6816,0.3833,0.4063,0.5232,0.1845,0.5805,ualqkv
1294,0.1875,0.2178,0.5462,0.6077,0.2797,0.4788,0.7502,xouvxcnv
1295,0.5301,0.576,0.6625,0.649,0.1634,0.9753,0.5486,uhlcs
1296,0.6874,0.5277,0.0889,0.864,0.4389,0.8366,0.6781,hsenb
1297,0.45,0.3913,0.9402,0.4303,0.5725,0.2549,0.1287,pqwlvczz
1298,0.7964,0.9189,0.6551,0.3936,0.0062,0.535,0.5961,hwvll
1299,0.8417,0.7389,0.7433,0.1796,0.3347,0.8418,0.0845,vkjdx
1300,0.9471,0.967,0.2533,0.8747,0.5519,0.2151,0.131,paqq
1301,0.6652,0.8165,0.5743,0.4817,0.132,0.7506,0.5159,ntmgd
1302,0.5662,0.6903,0.3048,0.3151,0.8249,0.2578,0.4041,fcwsfjsp
1303,0.5774,0.3162,0.6088,0.1384,0.2898,0.9953,0.1438,mybaoea
1304,0.556,0.9133,0.6165,0.972,0.8657,0.5345,0.1149,gufqflj
1305,0.9733,0.0136,0.4231,0.9405,0.2525,0.833,0.6333,zcddmo
1306,0.2425,0.1509,0.7781,0.4236,0.6355,0.77,0.9912,ryvluq
1307,0.478,0.5311,0.8261,0.4145,0.4665,0.5247,0.6558,bgsaprn
1308,0.4419,0.6418,0.9626,0.3726,0.2848,0.8335,0.0544,kctgvm
1309,0.6753,0.0882,0.5797,0.0252,0.2199,0.3838,0.9606,idii
1310,0.6152,0.958,0.7435,0.8467,0.6926,0.8276,0.9244,zijiwhb
1311,0.0401,0.1768,0.1561,0.9835,0.4748,0.8587,0.9216,jlodmzg
1312,0.436,0.3027,0.4813,0.0078,0.4953,0.4865,0.5377,nvxyjb
1313,0.221,0.4157,0.0798,0.8979,0.8003,0.4835,0.1352,bxmzisz
1314,0.0701,0.027,0.8922,0.7242,0.3103,0.5633,0.4559,mbijlu
1315,0.9702,0.1135,0.3029,0.0208,0.3678,0.0123,0.6967,mxgbsbej
1316,0.2851,0.1378,0.3253,0.6867,0.5195,0.5227,0.4639,kungmeq
1317,0.4927,0.8499,0.1968,0.6101,0.3412,0.5149,0.189,nppsotae
1318,0.128,0.0739,0.2751,0.9966,0.4301,0.586,0.3084,vniiubj
1319,0.3906,0.1839,0.8572,0.4077,0.9052,0.8791,0.4944,felz
1320,0.8189,0.2318,0.9457,0.515,0.4633,0.4497,0.3557,jbcyxian
1321,0.8373,0.6551,0.4937,0.8024,0.7658,0.2606,0.7394,jjhdcp
1322,0.5891,0.5114,0.8561,0.1014,0.9101,0.4596,0.2458,wldipqo
1323,0.0988,0.7827,0.4056,0.2834,0.3778,0.0531,0.7338,fbrhv
1324,0.9376,0.6129,0.5595,0.0596,0.9128,0.379,0.4629,ndazufvd
1325,0.1929,0.7121,0.0776,0.322,0.6785,0.378,0.2888,xcykq
1326,0.1738,0.2874,0.1997,0.2916,0.6638,0.7464,0.5182,zbqro
1327,0.9902,0.2078,0.5131,0.468,0.3244,0.3524,0.3615,jbejmz
1328,0.3607,0.8752,0.4022,0.8454,0.9462,0.7448,0.0167,drexecq
1329,0.9352,0.1533,0.6401,0.996,0.4299,0.0438,0.0334,hgcuu
1330,0.8239,0.341,0.2861,0.6149,0.8853,0.5082,0.1272,ohzpxp
1331,0.3409,0.1897,0.1973,0.3317,0.0281,0.6777,0.0356,nknz
1332,0.7707,0.7908,0.6591,0.4911,0.7973,0.0487,0.7781,xfaookg
1333,0.8863,0.1384,0.471,0.6862,0.956,0.6923,0.1656,bcfa
1334,0.146,0.6611,0.0779,0.5067,0.0849,0.6644,0.9712,wzhcqohr
1335,0.6689,0.3608,0.4798,0.159,0.1098,0.7177,0.107,bckr
1336,0.2409,0.8617,0.0182,0.1716,0.7045,0.8553,0.6951,iebkrzq
1337,0.1178,0.9077,0.1051,0.0784,0.9387,0.2135,0.9522,uxca
1338,0.1736,0.9487,0.8054,0.8855,0.9742,0.8959,0.29,iwbgaed
1339,0.3424,0.3333,0.4046,0.2373,0.6922,0.8957,0.9871,dxnxeq
1340,0.2215,0.6439,0.4206,0.2103,0.2081,0.3833,0.4194,jxvk
1341,0.929,0.7391,0.5253,0.2003,0.0296,0.5334,0.6492,gyepvhd
1342,0.7705,0.3344,0.6496,0.4649,0.4296,0.1285,0.7543,zcox
1343,0.8746,0.2077,0.0235,0.3971,0.9359,0.3795,0.9819,ghfoww
1344,0.5708,0.8714,0.7706,0.0467,0.9044,0.5526,0.1186,dthggfs
1345,0.7244,0.4188,0.3303,0.4922,0.8469,0.4165,0.4933,ciwxn
1346,0.0851,0.4009,0.2981,0.1256,0.1209,0.8349,0.481,pldn
1347,0.9537,0.8669,0.709,0.2731,0.423,0.4322,0.359,krpd
1348,0.5936,0.0356,0.076,0.6949,0.1254,0.2094,0.2863,vwqbfhow
1349,0.43,0.9134,0.2504,0.7336,0.1849,0.354,0.4752,akxgyu
1350,0.429,0.0059,0.8607,0.1406,0.9259,0.2853,0.2664,hrio
1351,0.6417,0.3445,0.8709,0.5071,0.9603,0.2051,0.9481,taswnk
1352,0.6912,0.0605,0.0072,0.9394,0.3469,0.6427,0.0687,nllazmu
1353,0.209,0.9579,0.5892,0.1668,0.5059,0.8118,0.5589,phagrcc
1354,0.2374,0.9445,0.8769,0.138,0.9683,0.597,0.5501,wvcsumwh
1355,0.5412,0.1613,0.3863,0.2967,0.9137,0.6719,0.1724,snbmfhj
1356,0.3538,0.5762,0.5446,0.526,0.3474,0.2206,0.3979,oqfgyf
1357,0.7307,0.2768,0.8114,0.7834,0.7842,0.1621,0.3994,wgpxyism
1358,0.8101,0.9825,0.674,0.2497,0.1865,0.4321,0.5958,nrdrat
1359,0.4291,0.473,0.0175,0.8914,0.2033,0.4219,0.4576,kdhke
1360,0.2421,0.0653,0.928,0.435,0.3295,0.3274,0.4902,wjzfa
1361,0.8002,0.8935,0.4511,0.5638,0.2171,0.478,0.7155,cfnwcubf
1362,0.2864,0.6721,0.9384,0.3713,0.4366,0.5755,0.0272,sxfhdh
1363,0.0445,0.7344,0.9972,0.6862,0.6315,0.4544,0.1633,zkxkdi
1364,0.0194,0.2941,0.8625,0.9618,0.4233,0.5675,0.4715,aqkfimph
1365,0.446,0.4648,0.5319,0.7558,0.7699,0.8069,0.0658,svib
1366,0.4896,0.9619,0.6502,0.904,0.9536,0.2524,0.1587,revyl
1367,0.3193,0.5298,0.1776,0.6246,0.5191,0.3012,0.3855,tsjdzyv
1368,0.4192,0.0002,0.7586,0.6982,0.5888,0.7759,0.8719,ussy
1369,0.2788,0.2077,0.8968,0.3037,0.0892,0.5612,0.5503,tcnaru
1370,0.4943,0.1502,0.9264,0.4769,0.0623,0.8985,0.8549,pwyhpuh
1371,0.0455,0.8306,0.3124,0.8079,0.1698,0.9575,0.1742,nfgdncu
1372,0.393,0.5948,0.9147,0.5803,0.2193,0.8879,0.839,vkcsv
1373,0.5053,0.1581,0.9739,0.8004,0.9119,0.0301,0.1591,netmtooo
1374,0.467,0.4072,0.754,0.0337,0.3269,0.9945,0.4397,znvjsfl
1375,0.3039,0.5178,0.8874,0.4072,0.3451,0.2145,0.0616,aval
1376,0.5293,0.0767,0.0245,0.1116,0.8314,0.9744,0.6825,cgksh
1377,0.1393,0.8566,0.9084,0.2766,0.4807,0.6606,1.0,sgbizlog
1378,0.6539,0.9794,0.96,0.7139,0.1262,0.3054,0.1337,lzrf
1379,0.9671,0.8479,0.1969,0.371,0.7796,0.4102,0.9942,zrfh
1380,0.4326,0.9912,0.1114,0.0065,0.3988,0.9798,0.5772,yggqqbu
1381,0.5555,0.5192,0.6788,0.1498,0.1577,0.9488,0.0535,pytr
1382,0.5794,0.21,0.8563,0.8769,0.0619,0.698,0.707,gkxfvm
1383,0.2815,0.9295,0.5848,0.5522,0.4778,0.4888,0.3404,biqtqkw
1384,0.7573,0.3982,0.661,0.4945,0.4752,0.6087,0.2944,lpqnakq
1385,0.6916,0.3041,0.3964,0.5171,0.9325,0.9776,0.1361,xyavujli
1386,0.8097,0.2029,0.8837,0.1234,0.4906,0.1497,0.3765,qskxeqbw
1387,0.4168,0.1362,0.8886,0.7925,0.7243,0.7511,0.0569,lpei
1388,0.7693,0.1566,0.9445,0.2233,0.0064,0.1942,0.1639,vmoby
1389,0.4474,0.4394,0.4446,0.6224,0.2208,0.2783,0.5989,vesvujc
1390,0.6636,0.1175,0.5179,0.9931,0.4537,0.9069,0.673,xtdpwj
1391,0.2372,0.7,0.1809,0.126,0.1859,0.8257,0.3913,zgbv
1392,0.7393,0.3417,0.8505,0.8063,0.0354,0.1533,0.0785,bcpwl
1393,0.176,0.4354,0.012,0.4074,0.1931,0.3353,0.9766,abply
1394,0.819,0.7062,0.015,0.6377,0.8218,0.2543,0.7226,rkiw
1395,0.1504,0.586,0.1027,0.2992,0.6791,0.1095,0.8776,gznk
1396,0.229,0.9327,0.7481,0.8701,0.183,0.9142,0.6835,kqvt
1397,0.0983,0.3856,0.0258,0.1994,0.624,0.6411,0.295,ftixyy
1398,0.3562,0.2121,0.2786,0.8287,0.8956,0.8223,0.675,dymh
1399,0.4555,0.1606,0.3602,0.9868,0.9913,0.931,0.007,szgu
1400,0.9606,0.0141,0.952,0.6841,0.0996,0.7515,0.9359,cxlyono
1401,0.7425,0.1483,0.9166,0.259,0.6662,0.8631,0.2406,qaztibum
